"PSM.Score","rf"
320.1133,"hs0041.raw"
158.2175,"hs0041.raw"
260.818,"hs0041.raw"
263.0005,"hs0041.raw"
178.0586,"hs0041.raw"
174.4814,"hs0041.raw"
132.6688,"hs0041.raw"
222.4066,"hs0041.raw"
220.8865,"hs0041.raw"
236.8494,"hs0041.raw"
306.073,"hs0041.raw"
194.3007,"hs0041.raw"
159.983,"hs0041.raw"
230.7205,"hs0041.raw"
238.9854,"hs0041.raw"
166.3389,"hs0041.raw"
82.6768,"hs0041.raw"
100.2442,"hs0041.raw"
206.7408,"hs0041.raw"
182.3441,"hs0041.raw"
306.8986,"hs0041.raw"
294.0901,"hs0041.raw"
276.7405,"hs0041.raw"
198.3088,"hs0041.raw"
202.2787,"hs0041.raw"
236.9944,"hs0041.raw"
296.909,"hs0041.raw"
313.661,"hs0041.raw"
242.9921,"hs0041.raw"
276.7405,"hs0041.raw"
196.2737,"hs0041.raw"
209.932,"hs0041.raw"
276.7405,"hs0041.raw"
221.7969,"hs0041.raw"
142.3161,"hs0041.raw"
221.1675,"hs0041.raw"
196.6019,"hs0041.raw"
311.1174,"hs0041.raw"
287.0392,"hs0041.raw"
287.0392,"hs0041.raw"
141.9521,"hs0041.raw"
169.2317,"hs0041.raw"
337.5045,"hs0041.raw"
251.016,"hs0041.raw"
260.8107,"hs0041.raw"
171.2734,"hs0041.raw"
242.5629,"hs0041.raw"
196.2737,"hs0041.raw"
237.5567,"hs0041.raw"
267.4813,"hs0041.raw"
327.681,"hs0041.raw"
200.2603,"hs0041.raw"
286.409,"hs0041.raw"
222.4066,"hs0041.raw"
238.4892,"hs0041.raw"
214.1951,"hs0041.raw"
350,"hs0041.raw"
316.4794,"hs0041.raw"
271.7965,"hs0041.raw"
276.7405,"hs0041.raw"
252.3436,"hs0041.raw"
222.4066,"hs0041.raw"
279.104,"hs0041.raw"
261.9407,"hs0041.raw"
142.3161,"hs0041.raw"
275.916,"hs0041.raw"
148.6759,"hs0041.raw"
215.0505,"hs0041.raw"
266.7081,"hs0041.raw"
256.0598,"hs0041.raw"
192.917,"hs0041.raw"
228.8423,"hs0041.raw"
194.2092,"hs0041.raw"
144.9575,"hs0041.raw"
183.9015,"hs0041.raw"
230.7205,"hs0041.raw"
270.5221,"hs0041.raw"
305.783,"hs0041.raw"
305.783,"hs0041.raw"
328.348,"hs0041.raw"
156.678,"hs0041.raw"
230.0484,"hs0041.raw"
296.1148,"hs0041.raw"
276.7405,"hs0041.raw"
255.652,"hs0041.raw"
310.9685,"hs0041.raw"
276.7504,"hs0041.raw"
303.3717,"hs0041.raw"
215.1327,"hs0041.raw"
174.3882,"hs0041.raw"
217.8612,"hs0041.raw"
350,"hs0041.raw"
120.5262,"hs0041.raw"
169.2317,"hs0041.raw"
214.1951,"hs0041.raw"
221.6437,"hs0041.raw"
325.6261,"hs0041.raw"
248.2071,"hs0041.raw"
266.4175,"hs0041.raw"
184.786,"hs0041.raw"
251.7363,"hs0041.raw"
176.975,"hs0041.raw"
125.5815,"hs0041.raw"
283.8414,"hs0041.raw"
290.9741,"hs0041.raw"
322.9813,"hs0041.raw"
300.5197,"hs0041.raw"
179.5558,"hs0041.raw"
350,"hs0041.raw"
173.6738,"hs0041.raw"
287.0392,"hs0041.raw"
263.1192,"hs0041.raw"
160.3421,"hs0041.raw"
313.661,"hs0041.raw"
239.9965,"hs0041.raw"
224.3651,"hs0041.raw"
119.9181,"hs0041.raw"
272.5976,"hs0041.raw"
191.0501,"hs0041.raw"
296.909,"hs0041.raw"
299.5556,"hs0041.raw"
226.7973,"hs0041.raw"
287.1102,"hs0041.raw"
181.0335,"hs0041.raw"
252.3436,"hs0041.raw"
276.7405,"hs0041.raw"
196.4228,"hs0041.raw"
218.1111,"hs0041.raw"
162.9066,"hs0041.raw"
194.3007,"hs0041.raw"
245.0149,"hs0041.raw"
104.0985,"hs0041.raw"
251.1683,"hs0041.raw"
191.0501,"hs0041.raw"
231.4183,"hs0041.raw"
162.9066,"hs0041.raw"
169.2317,"hs0041.raw"
349.778,"hs0041.raw"
350,"hs0041.raw"
313.661,"hs0041.raw"
206.623,"hs0041.raw"
342.5037,"hs0041.raw"
169.2317,"hs0041.raw"
160.4266,"hs0041.raw"
298.6684,"hs0041.raw"
214.1951,"hs0041.raw"
298.6684,"hs0041.raw"
276.7405,"hs0041.raw"
235.5272,"hs0041.raw"
228.8014,"hs0041.raw"
251.1683,"hs0041.raw"
202.5823,"hs0041.raw"
216.1766,"hs0041.raw"
243.0065,"hs0041.raw"
229.1447,"hs0041.raw"
256.0598,"hs0041.raw"
204.2829,"hs0041.raw"
124.5488,"hs0041.raw"
350,"hs0041.raw"
235.3578,"hs0041.raw"
174.3882,"hs0041.raw"
157.8208,"hs0041.raw"
186.7998,"hs0041.raw"
240.2777,"hs0041.raw"
312.1092,"hs0041.raw"
230.7205,"hs0041.raw"
268.9034,"hs0041.raw"
350,"hs0041.raw"
287.0392,"hs0041.raw"
350,"hs0041.raw"
284.3393,"hs0041.raw"
252.3436,"hs0041.raw"
196.312,"hs0041.raw"
158.1542,"hs0041.raw"
350,"hs0041.raw"
287.0392,"hs0041.raw"
70.57519,"hs0041.raw"
178.0586,"hs0041.raw"
182.3441,"hs0041.raw"
182.149,"hs0041.raw"
228.8423,"hs0041.raw"
231.4183,"hs0041.raw"
194.5785,"hs0041.raw"
277.2589,"hs0041.raw"
191.9028,"hs0041.raw"
314.1201,"hs0041.raw"
228.8014,"hs0041.raw"
209.932,"hs0041.raw"
174.3882,"hs0041.raw"
233.703,"hs0041.raw"
298.6684,"hs0041.raw"
178.0586,"hs0041.raw"
123.1397,"hs0041.raw"
211.8501,"hs0041.raw"
306.073,"hs0041.raw"
209.2591,"hs0041.raw"
135.187,"hs0041.raw"
327.0316,"hs0041.raw"
228.8565,"hs0041.raw"
214.1789,"hs0041.raw"
221.6437,"hs0041.raw"
213.9319,"hs0041.raw"
350,"hs0041.raw"
174.9585,"hs0041.raw"
182.1989,"hs0041.raw"
350,"hs0041.raw"
280.493,"hs0041.raw"
147.6427,"hs0041.raw"
218.2049,"hs0041.raw"
350,"hs0041.raw"
226.6567,"hs0041.raw"
326.0697,"hs0041.raw"
190.7876,"hs0041.raw"
240.6919,"hs0041.raw"
237.5567,"hs0041.raw"
251.9091,"hs0041.raw"
210.5541,"hs0041.raw"
277.2589,"hs0041.raw"
112.3098,"hs0041.raw"
287.0392,"hs0041.raw"
149.0874,"hs0041.raw"
221.0359,"hs0041.raw"
289.8441,"hs0041.raw"
300.5197,"hs0041.raw"
144.9575,"hs0041.raw"
306.6033,"hs0041.raw"
242.4798,"hs0041.raw"
343.5023,"hs0041.raw"
221.0359,"hs0041.raw"
277.5374,"hs0041.raw"
231.4183,"hs0041.raw"
171.0877,"hs0041.raw"
350,"hs0041.raw"
87.79696,"hs0041.raw"
180.245,"hs0041.raw"
161.1145,"hs0041.raw"
299.5142,"hs0041.raw"
191.0501,"hs0041.raw"
350,"hs0041.raw"
347.0572,"hs0041.raw"
218.5627,"hs0041.raw"
313.6419,"hs0041.raw"
115.512,"hs0041.raw"
229.9144,"hs0041.raw"
268.6211,"hs0041.raw"
209.2591,"hs0041.raw"
254.8843,"hs0041.raw"
233.703,"hs0041.raw"
160.3421,"hs0041.raw"
149.0874,"hs0041.raw"
136.7858,"hs0041.raw"
275.916,"hs0041.raw"
350,"hs0041.raw"
106.5349,"hs0041.raw"
303.3717,"hs0041.raw"
236.276,"hs0041.raw"
174.3882,"hs0041.raw"
350,"hs0041.raw"
260.8107,"hs0041.raw"
249.0146,"hs0041.raw"
159.983,"hs0041.raw"
204.2829,"hs0041.raw"
242.5629,"hs0041.raw"
144.2394,"hs0041.raw"
171.0877,"hs0041.raw"
248.2071,"hs0041.raw"
281.301,"hs0041.raw"
218.5627,"hs0041.raw"
350,"hs0041.raw"
244.4502,"hs0041.raw"
232.9311,"hs0041.raw"
224.3651,"hs0041.raw"
350,"hs0041.raw"
148.3461,"hs0041.raw"
203.287,"hs0041.raw"
236.8494,"hs0041.raw"
210.5541,"hs0041.raw"
235.3578,"hs0041.raw"
230.7205,"hs0041.raw"
260.5079,"hs0041.raw"
236.1494,"hs0041.raw"
130.4563,"hs0041.raw"
157.5603,"hs0041.raw"
179.5558,"hs0041.raw"
326.1407,"hs0041.raw"
174.9585,"hs0041.raw"
254.8843,"hs0041.raw"
259.0665,"hs0041.raw"
232.634,"hs0041.raw"
191.9028,"hs0041.raw"
150.466,"hs0041.raw"
136.0567,"hs0041.raw"
243.004,"hs0041.raw"
202.2787,"hs0041.raw"
249.0146,"hs0041.raw"
297.8836,"hs0041.raw"
350,"hs0041.raw"
287.0392,"hs0041.raw"
256.2101,"hs0041.raw"
287.9846,"hs0041.raw"
254.5036,"hs0041.raw"
154.7666,"hs0041.raw"
198.3088,"hs0041.raw"
135.187,"hs0041.raw"
130.4563,"hs0041.raw"
350,"hs0041.raw"
222.2905,"hs0041.raw"
337.5045,"hs0041.raw"
184.7687,"hs0041.raw"
298.6684,"hs0041.raw"
313.661,"hs0041.raw"
281.0994,"hs0041.raw"
350,"hs0041.raw"
230.0059,"hs0041.raw"
228.8565,"hs0041.raw"
195.509,"hs0041.raw"
186.9607,"hs0041.raw"
154.028,"hs0041.raw"
196.2737,"hs0041.raw"
247.7699,"hs0041.raw"
174.3882,"hs0041.raw"
319.6072,"hs0041.raw"
235.3578,"hs0041.raw"
290.78,"hs0041.raw"
191.0501,"hs0041.raw"
194.2092,"hs0041.raw"
297.7738,"hs0041.raw"
276.7405,"hs0041.raw"
202.5823,"hs0041.raw"
287.0392,"hs0041.raw"
254.6987,"hs0041.raw"
350,"hs0041.raw"
265.0343,"hs0041.raw"
296.909,"hs0041.raw"
171.2734,"hs0041.raw"
295.5279,"hs0041.raw"
273.1534,"hs0041.raw"
236.8494,"hs0041.raw"
252.3436,"hs0041.raw"
218.9373,"hs0041.raw"
244.2306,"hs0041.raw"
216.1577,"hs0041.raw"
300.5197,"hs0041.raw"
138.5294,"hs0041.raw"
226.3914,"hs0041.raw"
271.7965,"hs0041.raw"
246.655,"hs0041.raw"
230.651,"hs0041.raw"
336.6987,"hs0041.raw"
228.8014,"hs0041.raw"
197.9075,"hs0041.raw"
277.5374,"hs0041.raw"
252.3436,"hs0041.raw"
134.6912,"hs0041.raw"
299.2323,"hs0041.raw"
157.8208,"hs0041.raw"
129.3314,"hs0041.raw"
217.8755,"hs0041.raw"
311.5531,"hs0041.raw"
230.7205,"hs0041.raw"
91.47784,"hs0041.raw"
126.5366,"hs0041.raw"
221.2607,"hs0041.raw"
282.9206,"hs0041.raw"
290.1013,"hs0041.raw"
190.7876,"hs0041.raw"
325.3322,"hs0041.raw"
198.7145,"hs0041.raw"
323.1346,"hs0041.raw"
299.5142,"hs0041.raw"
160.3421,"hs0041.raw"
325.3322,"hs0041.raw"
242.4798,"hs0041.raw"
244.1031,"hs0041.raw"
218.2049,"hs0041.raw"
284.2941,"hs0041.raw"
272.1273,"hs0041.raw"
