"PSM.Score","rf"
159.8597,"hs0100.raw"
306.3565,"hs0100.raw"
155.3244,"hs0100.raw"
262.8064,"hs0100.raw"
334.5802,"hs0100.raw"
133.627,"hs0100.raw"
157.1358,"hs0100.raw"
197.7488,"hs0100.raw"
162.8638,"hs0100.raw"
120.4787,"hs0100.raw"
215.9827,"hs0100.raw"
298.4566,"hs0100.raw"
238.3128,"hs0100.raw"
285.3163,"hs0100.raw"
237.4659,"hs0100.raw"
334.6358,"hs0100.raw"
225.2586,"hs0100.raw"
254.2152,"hs0100.raw"
311.8799,"hs0100.raw"
175.0753,"hs0100.raw"
316.7129,"hs0100.raw"
255.4406,"hs0100.raw"
268.657,"hs0100.raw"
244.2388,"hs0100.raw"
300.2906,"hs0100.raw"
261.7164,"hs0100.raw"
196.3291,"hs0100.raw"
104.6918,"hs0100.raw"
350,"hs0100.raw"
145.1744,"hs0100.raw"
333.8084,"hs0100.raw"
261.7164,"hs0100.raw"
244.2388,"hs0100.raw"
217.7024,"hs0100.raw"
147.555,"hs0100.raw"
175.6875,"hs0100.raw"
280.8878,"hs0100.raw"
224.1888,"hs0100.raw"
313.4492,"hs0100.raw"
142.3448,"hs0100.raw"
206.4643,"hs0100.raw"
350,"hs0100.raw"
350,"hs0100.raw"
214.0187,"hs0100.raw"
346.7749,"hs0100.raw"
140.674,"hs0100.raw"
261.7467,"hs0100.raw"
210.8192,"hs0100.raw"
179.5277,"hs0100.raw"
176.834,"hs0100.raw"
138.4062,"hs0100.raw"
238.6222,"hs0100.raw"
211.6914,"hs0100.raw"
350,"hs0100.raw"
307.6104,"hs0100.raw"
254.5049,"hs0100.raw"
290.7449,"hs0100.raw"
330.8732,"hs0100.raw"
213.7377,"hs0100.raw"
164.2711,"hs0100.raw"
95.91679,"hs0100.raw"
289.7963,"hs0100.raw"
202.1201,"hs0100.raw"
270.3478,"hs0100.raw"
217.7024,"hs0100.raw"
80.23768,"hs0100.raw"
204.1243,"hs0100.raw"
332.6981,"hs0100.raw"
313.4492,"hs0100.raw"
296.6974,"hs0100.raw"
298.4566,"hs0100.raw"
183.3474,"hs0100.raw"
248.8382,"hs0100.raw"
159.8597,"hs0100.raw"
220.7101,"hs0100.raw"
242.2858,"hs0100.raw"
218.3866,"hs0100.raw"
251.2198,"hs0100.raw"
295.8856,"hs0100.raw"
140.674,"hs0100.raw"
217.9098,"hs0100.raw"
202.1201,"hs0100.raw"
148.7068,"hs0100.raw"
217.9524,"hs0100.raw"
206.4643,"hs0100.raw"
236.673,"hs0100.raw"
264.4928,"hs0100.raw"
270.3478,"hs0100.raw"
298.4566,"hs0100.raw"
169.0907,"hs0100.raw"
262.9251,"hs0100.raw"
284.2231,"hs0100.raw"
313.4492,"hs0100.raw"
261.7467,"hs0100.raw"
265.9082,"hs0100.raw"
334.6358,"hs0100.raw"
206.4643,"hs0100.raw"
165.6243,"hs0100.raw"
293.8784,"hs0100.raw"
298.4566,"hs0100.raw"
298.4566,"hs0100.raw"
298.4566,"hs0100.raw"
214.0187,"hs0100.raw"
246.851,"hs0100.raw"
214.5075,"hs0100.raw"
182.008,"hs0100.raw"
242.3691,"hs0100.raw"
168.3088,"hs0100.raw"
278.8923,"hs0100.raw"
261.7164,"hs0100.raw"
276.5464,"hs0100.raw"
208.6383,"hs0100.raw"
150.556,"hs0100.raw"
350,"hs0100.raw"
286.5635,"hs0100.raw"
311.8799,"hs0100.raw"
320.8454,"hs0100.raw"
264.602,"hs0100.raw"
206.5821,"hs0100.raw"
339.7459,"hs0100.raw"
162.7656,"hs0100.raw"
350,"hs0100.raw"
313.4492,"hs0100.raw"
